pudding  sweet
vulcanize  treat
jokester  comic
ruta  rosid_dicot_genus
attitude  pose
foodstuff  nutrient
bollworm  caterpillar
aching  pain
stercorariidae  bird_family
tap_dancing  step_dancing
calamus_oil  oil
chalcis_fly  chalcidfly
legionary_ant  pismire
open_account  revolving_credit
order_mallophaga  animal_order
souari_tree  tree
mammalian  vertebrate
sulfur_bottom  whalebone_whale
redecorate  ornament
melolonthid_beetle  scarabaeid_beetle
guarantee  pledge
genus_arenaria  caryophylloid_dicot_genus
pelargonium  rosid_dicot_genus
genus_eschrichtius  mammal_genus
railway  track
flutist  player
ledum_groenlandicum  shrub
bunter  slugger
vesicatory  chemical_agent
tricyclic_antidepressant_drug  antidepressant_drug
cruciferous_plant  herbaceous_plant
rimu  coniferous_tree
sauteing  preparation
approach_shot  swing
mechanical_drawing  trade
genus_forficula  arthropod_genus
visual_property  property
opheodrys  reptile_genus
paris_daisy  suffrutex
royal_court  regime
symbol  signaling
red_hot  sandwich
rigging  formation
muscular_dystrophy  inherited_disorder
chancellorship  spot
antiarrhythmic_medication  medicine
charcoal  draw
raspberry_bush  bramble_bush
holding_cell  slammer
skull  os
numen  spirit
pseudolarix  gymnosperm_genus
necessity  need
enable  modify
storage_battery  voltaic_battery
fungicide  agent
rusher  soul
raffia_ruffia  palm_tree
hurrah  yell
shear  trim
shed  outbuilding
blight  plant_disease
tomboy  young_woman
victory_day  day
messiah  saviour
aldehyde  organic_compound
censure  disapprobation
squelcher  electrical_circuit
stage_set  representation
crowding  state_of_affairs
gaillardia  wildflower
osteichthyes  class
disembarrassment  relief
sinus_venosus_sclerae  epithelial_duct
suborder_menurae  animal_order
summer_cypress  shrub
xyphophorus  fish_genus
sex_chromosome  chromosome
undertow  undertide
munda-mon-khmer  tongue
misunderstand  see
mammutidae  mammal_family
tarsus  skeletal_structure
heavy_spar  mineral
riggs'_disease  periodontitis
sea  water
family_cladoniaceae  fungus_family
ordeal_tree  shrub
silk  textile
typology  compartmentalization
sailing_boat  sailing_vessel
impersonation  wittiness
shoeblack_plant  hibiscus
voidance  removal
epicanthus  plica
filicopsida  class
spue  spit_up
awe  scare
skip_over  pretermit
handwear  wearable
xenopus  cobble_up
blueberry  berry
rudiment  fundamentals
rainy_day  time_period
dry_unit  volume_unit
symbolizer  translator
trogoniformes  animal_order
plea  answer
stickup_man  thief
imprison  detain
instilling  indoctrination
thoriate  saturate
protestant_church  church
renegade  resist
astronomy_unit  linear_unit
ginseng  root
refresh  renew
throbbing  pulse
potency  physiological_state
italic_language  indo-hittite
odontology  medicine
shut_out  prevent
stately_home  residence
glossopsitta  bird_genus
cudweed  everlasting_flower
trigonella  rosid_dicot_genus
genus_bairdiella  fish_genus
reapportion  apportion
bill_of_rights  statement
fennel  herbaceous_plant
master_of_ceremonies  entertainer
iliamna  dilleniid_dicot_genus
phalaenopsis  monocot_genus
knitwork  needlework
white_horse_nettle  nightshade
shnorr  beg
changeableness  quality
milk_snake  kingsnake
repute  laurels
line_drawing  drawing
mestiza  woman
oriolidae  bird_family
sand_verbena  wildflower
disappearance  occurrent
sturdiness  resolve
hassidim  orthodox_judaism
sciaenidae  fish_family
submachine_gun  machine_gun
spurious_wing  plume
stenotaphrum  monocot_genus
nerve_plexus  rete
federal_agent  official
maltster  shaper
stationariness  stillness
priacanthus_arenatus  percoidean
porphyra  protoctist_genus
unfavourableness  disadvantage
orchestration  transcription
grafting  attachment
red_gram  shrub
nist  office
machine_gunner  serviceman
cudgel  club
sleeve  cloth_covering
panthera_leo  cat
assassinate  sully
ethiopian  african
family_cecropiaceae  magnoliopsid_family
seseli  rosid_dicot_genus
conceptualization  construct
agamid_lizard  lizard
ego  psyche
overbid  tender
huddle_together  flock
life_history  progression
colour_tv_tube  television_tube
water_shrew  shrewmouse
microscope  magnifier
genus_anasa  arthropod_genus
priesthood  profession
hurtle  throw
stink  smell
lifetime  time_period
phlebotomize  treat
morning_glory  vine
nuclear_family  menage
pay_up  pay
hirundinidae  bird_family
into_the_bargain  treat
source_language  linguistic_communication
alkyl_radical  radical
escalade  mount
polygonatum  liliid_monocot_genus
westernize  modify
repent  red_grouse
anchovy_paste  seasoning
family_alligatoridae  reptile_family
headspring  source
dining_compartment  passenger_car
pleura  serous_membrane
overworking  toil
voting_system  legal_system
rima_oris  rima
wake-robin  arum
repetitiveness  verbosity
turbojet  jet_plane
hippodamia_convergens  ladybug
smart  cause_to_be_perceived
army_intelligence  office
chaperone  shielder
mammal_genus  genus
reticuloendothelial_system  system
thorniness  disagreeableness
sweet_melon_vine  melon_vine
jordanella  fish_genus
trombicula  arthropod_genus
vitrine  container
malaclemys  reptile_genus
lighting_fixture  fixture
dorsal_root  sensory_nerve
meal_ticket  sustenance
oktoberfest  fete
waning  lessening
lynx  wildcat
disobey  refuse
melia  rosid_dicot_genus
struthio_camelus  ratite_bird
pueraria  rosid_dicot_genus
linden  wood
genus_ayapana  rosid_dicot_genus
accordance_of_rights  giving
saltwort  shrub
locustidae  arthropod_family
law_of_nature  construct
beautification  change_of_state
concession  agreement
mental_block  inability
briefing  making_known
gi_hormones  internal_secretion
family_agaricaceae  fungus_family
pseudotsuga  gymnosperm_genus
suspension_point  stop
goosefoot  herbaceous_plant
caramelize  convert
os_frontale  membrane_bone
vinify  work
evening_primrose  herbaceous_plant
genus_dermochelys  reptile_genus
artistic_movement  social_movement
chiropteran  placental_mammal
confirm  sanction
dale  valley
genus_athrotaxis  gymnosperm_genus
guerrilla_force  personnel
genus_macrotus  mammal_genus
leitneria  magnoliopsid_genus
propagator  communicator
worktable  table
seidlitz_powders  purgative
african_daisy  flower
man_of_affairs  businessperson
valproic_acid  antiepileptic_drug
muscicapidae  bird_family
sexual_urge  feeling
redmaids  wildflower
last_judgment  day
rocking_chair  chair
syllabification  division
lampris  fish_genus
horseradish_root  root
synthetic_rubber  synthetic_substance
class_amphibia  class
terseness  style
immunology  medicine
genus_collinsia  asterid_dicot_genus
attitudinize  posture
sandhopper  amphipod
tentorium  plica
interjection  exclamation
seducer  rounder
roundel  heraldic_bearing
lapidary  expert
genus_eriobotrya  rosid_dicot_genus
interpretation  explanation
japanese  altaic_language
miscarriage  failure
foreground  vista
family_cervidae  mammal_family
resume  uphold
starches  foodstuff
credibleness  quality
chromatin_granule  body_substance
necklace_tree  tree
quercus_mongolica  oak_tree
freeze-dry  preserve
drawl  sound_out
